Student_ID,Name,Class,Attendance,Study_Hours,Math,Science,English,History,Computer,Average_Marks,Grade
S001,Student_1,A,58,1,91,85,71,79,46,74.4,B
S002,Student_2,B,77,17,100,59,42,52,80,66.6,C
S003,Student_3,B,87,18,54,41,96,96,76,72.6,B
S004,Student_4,B,56,13,96,41,77,98,69,76.2,B
S005,Student_5,B,75,10,79,36,55,80,95,69.0,C
S006,Student_6,C,90,6,100,60,53,91,99,80.6,B
S007,Student_7,B,85,13,83,95,30,44,47,59.8,C
S008,Student_8,A,95,7,58,56,58,55,77,60.8,C
S009,Student_9,B,99,1,67,55,86,33,95,67.2,C
S010,Student_10,B,61,5,35,82,75,53,85,66.0,C
S011,Student_11,C,50,1,72,79,47,88,59,69.0,C
S012,Student_12,B,56,2,61,52,50,57,97,63.4,C
S013,Student_13,A,100,19,97,62,43,93,39,66.8,C
S014,Student_14,A,59,7,67,30,40,78,84,59.8,C
S015,Student_15,A,58,3,43,39,66,45,59,50.4,D
S016,Student_16,A,72,7,56,40,41,94,55,57.2,C
S017,Student_17,A,96,12,90,65,71,60,71,71.4,B
S018,Student_18,B,92,15,57,58,72,68,89,68.8,C
S019,Student_19,B,67,8,80,82,50,62,31,61.0,C
S020,Student_20,C,81,5,48,52,62,69,82,62.6,C
S021,Student_21,C,86,12,86,73,83,36,46,64.8,C
S022,Student_22,A,96,12,35,65,74,45,96,63.0,C
S023,Student_23,B,69,2,59,42,45,58,66,54.0,D
S024,Student_24,A,89,6,34,77,92,34,46,56.6,C
S025,Student_25,A,66,15,47,40,43,58,30,43.6,D
S026,Student_26,B,51,5,69,90,41,37,81,63.6,C
S027,Student_27,A,80,3,96,60,62,96,30,68.8,C
S028,Student_28,B,95,6,40,65,38,97,98,67.6,C
S029,Student_29,A,74,6,54,48,52,97,69,64.0,C
S030,Student_30,B,50,0,32,67,43,100,86,65.6,C
S031,Student_31,A,100,17,96,73,52,37,96,70.8,B
S032,Student_32,C,73,4,69,94,96,45,86,78.0,B
S033,Student_33,A,88,18,52,96,47,53,75,64.6,C
S034,Student_34,C,66,14,99,31,69,47,73,63.8,C
S035,Student_35,C,91,19,67,58,41,65,64,59.0,C
S036,Student_36,A,89,16,95,39,69,73,57,66.6,C
S037,Student_37,B,91,2,92,48,94,82,59,75.0,B
S038,Student_38,C,63,1,38,70,81,91,64,68.8,C
S039,Student_39,C,82,14,57,43,45,86,83,62.8,C
S040,Student_40,C,89,5,35,52,83,47,82,59.8,C
S041,Student_41,C,58,13,90,67,31,42,98,65.6,C
S042,Student_42,A,99,11,94,100,83,94,43,82.8,B
S043,Student_43,B,92,12,38,96,33,63,83,62.6,C
S044,Student_44,C,52,14,39,92,86,59,62,67.6,C
S045,Student_45,C,66,19,70,100,51,38,44,60.6,C
S046,Student_46,A,76,16,82,100,39,55,32,61.6,C
S047,Student_47,B,56,7,47,68,85,92,41,66.6,C
S048,Student_48,B,72,2,31,36,49,86,50,50.4,D
S049,Student_49,C,63,11,99,49,63,34,61,61.2,C
S050,Student_50,B,95,2,59,99,39,74,43,62.8,C
S051,Student_51,C,90,3,94,70,73,80,33,70.0,B
S052,Student_52,A,93,16,70,80,100,57,47,70.8,B
S053,Student_53,C,87,16,67,66,79,62,30,60.8,C
S054,Student_54,C,85,15,94,75,95,48,51,72.6,B
S055,Student_55,C,55,19,36,56,89,94,39,62.8,C
S056,Student_56,C,50,13,55,71,36,34,92,57.6,C
S057,Student_57,A,88,19,79,73,51,30,93,65.2,C
S058,Student_58,A,73,16,45,84,57,94,34,62.8,C
S059,Student_59,C,58,4,69,48,40,72,37,53.2,D
S060,Student_60,A,85,3,81,79,46,53,38,59.4,C
